year,Team,Wins,Losses,Runs Scored,Runs Allowed
2006,Diamondbacks,76,86,773,788
2006,Braves,79,83,849,805
2006,Orioles,70,92,768,899
2006,Red Sox,86,76,820,825
2006,White Sox,90,72,868,794
2006,Cubs,66,96,716,834
2006,Reds,80,82,749,801
2006,Indians,78,84,870,782
2006,Rockies,76,86,813,812
2006,Tigers,95,67,822,675
2006,Marlins,78,84,758,772
2006,Astros,82,80,735,719
2006,Royals,62,100,757,971
2006,Angels,89,73,766,732
2006,Dodgers,88,74,820,751
2006,Brewers,75,87,730,833
2006,Twins,96,66,801,683
2006,Yankees,97,65,930,767
2006,Angels,97,65,834,731
2006,Athletics,93,69,771,727
2006,Phillies,85,77,865,812
2006,Pirates,67,95,691,797
2006,Padres,88,74,731,679
2006,Mariners,78,84,756,792
2006,Giants,76,85,746,790
2006,Cardinals,83,78,781,762
2006,Rays,61,101,689,856
2006,Rangers,80,82,835,784
2006,Blue Jays,87,75,809,754
2006,Natronals,71,91,746,872
2005,Diamondbacks,77,85,696,856
2005,Braves,90,72,769,674
2005,Orioles,74,88,729,800
2005,Red Sox,95,67,910,805
2005,White Sox,99,63,741,645
2005,Cubs,79,83,703,714
2005,Reds,73,89,820,889
2005,Indians,93,69,790,642
2005,Rockies,67,95,740,862
2005,Tigers,71,91,723,787
2005,Marlins,83,79,717,732
2005,Astros,89,73,693,609
2005,Royals,56,106,701,935
2005,Angels,95,67,761,643
2005,Dodgers,71,91,685,755
2005,Brewers,81,81,726,697
2005,Twins,83,79,688,662
2005,Yankees,95,67,886,789
2005,Angels,83,79,722,648
2005,Athletics,88,74,772,658
2005,Phillies,88,74,807,726
2005,Pirates,67,95,680,769
2005,Padres,82,80,684,726
2005,Mariners,69,93,699,751
2005,Giants,75,87,649,745
2005,Cardinals,100,62,805,634
2005,Rays,67,95,750,936
2005,Rangers,79,83,865,858
2005,Blue Jays,80,82,775,705
2005,Natronals,81,81,639,673
2004,Angels,92,70,836,734
2004,Diamondbacks,51,111,615,899
2004,Braves,96,66,803,668
2004,Orioles,78,84,842,830
2004,Red Sox,98,64,949,768
2004,White Sox,83,79,865,831
2004,Cubs,89,73,789,665
2004,Reds,76,86,750,907
2004,Indians,80,82,858,857
2004,Rockies,68,94,833,923
2004,Tigers,72,90,827,844
2004,Marlins,83,79,718,700
2004,Astros,92,70,803,698
2004,Royals,58,104,720,905
2004,Dodgers,93,69,761,684
2004,Brewers,67,94,634,757
2004,Twins,92,70,780,715
2004,Expos,67,95,635,769
2004,Yankees,101,61,897,808
2004,Angels,71,91,684,731
2004,Athletics,91,71,793,742
2004,Phillies,86,76,840,781
2004,Pirates,72,89,680,744
2004,Padres,87,75,768,705
2004,Mariners,63,99,698,823
2004,Giants,91,71,850,770
2004,Cardinals,105,57,855,659
2004,Rays,70,91,714,842
2004,Rangers,89,73,860,794
2004,Blue Jays,67,94,719,823
2003,Angels,77,85,736,743
2003,Diamondbacks,84,78,717,685
2003,Braves,101,61,907,740
2003,Orioles,71,91,743,820
2003,Red Sox,95,67,961,809
2003,White Sox,86,76,791,715
2003,Cubs,88,74,724,683
2003,Reds,69,93,694,886
2003,Indians,68,94,699,778
2003,Rockies,74,88,853,892
2003,Tigers,43,119,591,928
2003,Marlins,91,71,751,692
2003,Astros,87,75,805,677
2003,Royals,83,79,836,867
2003,Dodgers,85,77,574,556
2003,Brewers,68,94,714,873
2003,Twins,90,72,801,758
2003,Expos,83,79,711,716
2003,Yankees,101,61,877,716
2003,Angels,66,95,642,754
2003,Athletics,96,66,768,643
2003,Phillies,86,76,791,697
2003,Pirates,75,87,753,801
2003,Padres,64,98,678,831
2003,Mariners,93,69,795,637
2003,Giants,100,61,755,638
2003,Cardinals,85,77,876,796
2003,Rays,63,99,715,852
2003,Rangers,71,91,826,969
2003,Blue Jays,86,76,894,826
2002,Angels,99,63,851,644
2002,Diamondbacks,98,64,819,674
2002,Braves,101,59,708,565
2002,Orioles,67,95,667,773
2002,Red Sox,93,69,859,665
2002,White Sox,81,81,856,798
2002,Cubs,67,95,706,759
2002,Reds,78,84,709,774
2002,Indians,74,88,739,837
2002,Rockies,73,89,778,898
2002,Tigers,55,106,575,864
2002,Marlins,79,83,699,763
2002,Astros,84,78,749,695
2002,Royals,62,100,737,891
2002,Dodgers,92,70,713,643
2002,Brewers,56,106,627,821
2002,Twins,94,67,768,712
2002,Expos,83,79,735,718
2002,Yankees,103,58,897,697
2002,Angels,75,86,690,703
2002,Athletics,103,59,800,654
2002,Phillies,80,81,710,724
2002,Pirates,72,89,641,730
2002,Padres,66,96,662,815
2002,Mariners,93,69,814,699
2002,Giants,95,66,783,616
2002,Cardinals,97,65,787,648
2002,Rays,55,106,673,918
2002,Rangers,72,90,843,882
2002,Blue Jays,78,84,813,828
2001,Angels,75,87,691,730
2001,Diamondbacks,92,70,818,677
2001,Braves,88,74,729,643
2001,Orioles,63,98,687,829
2001,Red Sox,82,79,772,745
2001,White Sox,83,79,798,795
2001,Cubs,88,74,777,701
2001,Reds,66,96,735,850
2001,Indians,91,71,897,821
2001,Rockies,73,89,923,906
2001,Tigers,66,96,724,876
2001,Marlins,76,86,742,744
2001,Astros,93,69,847,769
2001,Royals,65,97,729,858
2001,Dodgers,86,76,758,744
2001,Brewers,68,94,740,806
2001,Twins,85,77,771,766
2001,Expos,68,94,670,812
2001,Yankees,95,65,804,713
2001,Angels,82,80,642,713
2001,Athletics,102,60,884,645
2001,Phillies,86,76,746,719
2001,Pirates,62,100,657,858
2001,Padres,79,83,789,812
2001,Mariners,116,46,927,627
2001,Giants,90,72,799,748
2001,Cardinals,93,69,814,684
2001,Rays,62,100,672,887
2001,Rangers,73,89,890,968
2001,Blue Jays,80,82,767,753
2000,Angels,82,80,864,869
2000,Diamondbacks,85,77,792,754
2000,Braves,95,67,810,714
2000,Orioles,74,88,794,913
2000,Red Sox,85,77,792,745
2000,White Sox,95,67,978,839
2000,Cubs,65,97,764,904
2000,Reds,85,77,825,765
2000,Indians,90,72,950,816
2000,Rockies,82,80,968,897
2000,Tigers,79,83,823,827
2000,Marlins,79,82,731,797
2000,Astros,72,90,938,944
2000,Royals,77,85,879,930
2000,Dodgers,86,76,798,729
2000,Brewers,73,89,740,826
2000,Twins,69,93,748,880
2000,Expos,67,95,738,902
2000,Yankees,87,74,871,814
2000,Angels,94,68,807,738
2000,Athletics,91,70,947,813
2000,Phillies,65,97,708,830
2000,Pirates,69,93,793,888
2000,Padres,76,86,752,815
2000,Mariners,91,71,907,780
2000,Giants,97,65,925,747
2000,Cardinals,95,67,887,771
2000,Rays,69,92,733,842
2000,Rangers,71,91,848,974
2000,Blue Jays,83,79,861,908
1999,Angels,70,92,711,826
1999,Diamondbacks,100,62,908,676
1999,Braves,103,59,840,661
1999,Orioles,78,84,851,815
1999,Red Sox,94,68,836,718
1999,White Sox,75,86,777,870
1999,Cubs,67,95,747,920
1999,Reds,96,67,865,711
1999,Indians,97,65,1009,860
1999,Rockies,72,90,906,1028
1999,Tigers,69,92,747,882
1999,Marlins,64,98,691,852
1999,Astros,97,65,823,675
1999,Royals,64,97,856,921
1999,Dodgers,77,85,793,787
1999,Brewers,74,87,815,886
1999,Twins,63,97,686,845
1999,Expos,68,94,718,853
1999,Yankees,98,64,900,731
1999,Angels,97,66,853,711
1999,Athletics,87,75,893,846
1999,Phillies,77,85,841,846
1999,Pirates,78,83,775,782
1999,Padres,74,88,710,781
1999,Mariners,79,83,859,905
1999,Giants,86,76,872,831
1999,Cardinals,75,86,809,838
1999,Rays,69,93,772,913
1999,Rangers,95,67,945,859
