state,state_abbr,measure,reference,value,rank,units
Alabama,AL,craft breweries,total,51,37,total
Alabama,AL,craft breweries,per-capita,1.4,49,total
Alabama,AL,economic impact,total,858,28,million dollars
Alabama,AL,economic impact,per-capita,237.94,45,million dollars
Alabama,AL,production,total,84013,40,barrels
Alabama,AL,production,per-capita,0.7,47,gallons
Alaska,AK,craft breweries,total,45,38,total
Alaska,AK,craft breweries,per-capita,8.8,7,total
Alaska,AK,economic impact,total,332,44,million dollars
Alaska,AK,economic impact,per-capita,629.81,5,million dollars
Alaska,AK,production,total,202797,27,barrels
Alaska,AK,production,per-capita,12.3,3,gallons
Arizona,AZ,craft breweries,total,127,20,total
Arizona,AZ,craft breweries,per-capita,2.4,34,total
Arizona,AZ,economic impact,total,1234,22,million dollars
Arizona,AZ,economic impact,per-capita,235.60999999999999,46,million dollars
Arizona,AZ,production,total,194345,29,barrels
Arizona,AZ,production,per-capita,1.1,42,gallons
Arkansas,AR,craft breweries,total,42,40,total
Arkansas,AR,craft breweries,per-capita,1.9,45,total
Arkansas,AR,economic impact,total,525,35,million dollars
Arkansas,AR,economic impact,per-capita,239.76999999999998,43,million dollars
Arkansas,AR,production,total,46272,45,barrels
Arkansas,AR,production,per-capita,0.7,49,gallons
California,CA,craft breweries,total,907,1,total
California,CA,craft breweries,per-capita,3.1,28,total
California,CA,economic impact,total,9661,1,million dollars
California,CA,economic impact,per-capita,332.88,26,million dollars
California,CA,production,total,3664080,1,barrels
California,CA,production,per-capita,3.9,14,gallons
Colorado,CO,craft breweries,total,425,2,total
Colorado,CO,craft breweries,per-capita,10,4,total
Colorado,CO,economic impact,total,3353,8,million dollars
Colorado,CO,economic impact,per-capita,796.3399999999999,1,million dollars
Colorado,CO,production,total,1529613,3,barrels
Colorado,CO,production,per-capita,11.2,5,gallons
Connecticut,CT,craft breweries,total,104,26,total
Connecticut,CT,craft breweries,per-capita,3.9,24,total
Connecticut,CT,economic impact,total,849,29,million dollars
Connecticut,CT,economic impact,per-capita,316.56,28,million dollars
Connecticut,CT,production,total,236444,25,barrels
