player,tm,salary,cap_hit,season
Shea Weber,NSH,14000000,7857143,2015
Jonathan Toews,CHI,13800000,10500000,2015
Patrick Kane,CHI,13800000,10500000,2015
Sidney Crosby,PIT,12000000,8700000,2015
Henrik Lundqvist,NYR,10000000,8500000,2015
Alex Ovechkin,WSH,10000000,9538462,2015
Evgeni Malkin,PIT,9500000,9500000,2015
Ryan Getzlaf,ANA,9250000,8250000,2015
Ryan Suter,MIN,9000000,7538462,2015
Claude Giroux,PHI,9000000,8275000,2015
Corey Perry,ANA,9000000,8625000,2015
Zach Parise,MIN,9000000,7538462,2015
Phil Kessel,PIT,8800000,6800000,2015
Sergei Bobrovsky,CBJ,8500000,7425000,2015
Patrice Bergeron,BOS,8250000,6875000,2015
Vladimir Tarasenko,STL,8000000,7500000,2015
Derek Stepan,NYR,8000000,6500000,2015
Dion Phaneuf,OTT,8000000,7000000,2015
Rick Nash,NYR,7900000,7800000,2015
Marian Hossa,CHI,7900000,5275000,2015
Anze Kopitar,LAK,7700000,6800000,2015
Duncan Keith,CHI,7500000,5538462,2015
Jason Spezza,DAL,7500000,7500000,2015
Henrik Zetterberg,DET,7500000,6083333,2015
Johnny Boychuk,NYI,7500000,6000000,2015
Tuukka Rask,BOS,7500000,7000000,2015
Pavel Datsyuk,DET,7500000,7500000,2015
Mikko Koivu,MIN,7290000,6750000,2015
David Krejci,BOS,7250000,7250000,2015
Bobby Ryan,OTT,7250000,7250000,2015
Kris Letang,PIT,7250000,7250000,2015
Dustin Brown,LAK,7250000,5875000,2015
Brian Campbell,FLA,7142875,7142875,2015
Drew Doughty,LAK,7100000,7000000,2015
Jeff Petry,MTL,7000000,5500000,2015
Jonathan Quick,LAK,7000000,5800000,2015
P.K. Subban,MTL,7000000,9000000,2015
Erik Karlsson,OTT,7000000,6500000,2015
Zdeno Chara,BOS,7000000,6916667,2015
Daniel Sedin,VAN,7000000,7000000,2015
Carey Price,MTL,7000000,6500000,2015
Pekka Rinne,NSH,7000000,7000000,2015
Henrik Sedin,VAN,7000000,7000000,2015
Paul Stastny,STL,7000000,7000000,2015
Jeff Carter,LAK,7000000,5272727,2015
Dan Girardi,NYR,7000000,5500000,2015
Cam Ward,CAR,6800000,6300000,2015
Joe Thornton,SJS,6750000,6750000,2015
Patrick Marleau,SJS,6500000,6666667,2015
Travis Zajac,NJD,6500000,5750000,2015
Nicklas Backstrom,WSH,6500000,6700000,2015
Braden Holtby,WSH,6500000,6100000,2015
Andrej Sekera,EDM,6500000,5500000,2015
Corey Crawford,CHI,6500000,6000000,2015
Thomas Vanek,MIN,6500000,6500000,2015
Alex Pietrangelo,STL,6500000,6500000,2015
Mike Smith,ARI,6500000,5666667,2015
Ryan Callahan,TBL,6400000,5800000,2015
Ryan O'Reilly,BUF,6200000,6000000,2015
Tyler Seguin,DAL,6000000,5750000,2015
Oliver Ekman-Larsson,ARI,6000000,5500000,2015
John Tavares,NYI,6000000,5500000,2015
Jordan Staal,CAR,6000000,6000000,2015
Derick Brassard,NYR,6000000,5000000,2015
Cory Schneider,NJD,6000000,6000000,2015
Alexander Edler,VAN,6000000,5000000,2015
Matt Moulson,BUF,6000000,5000000,2015
Ryan Nugent-Hopkins,EDM,6000000,6000000,2015
Semyon Varlamov,COL,6000000,5900000,2015
Taylor Hall,EDM,6000000,6000000,2015
Mike Green,DET,6000000,6000000,2015
Dustin Byfuglien,WPG,6000000,5200000,2015
Jeff Skinner,CAR,6000000,5725000,2015
Logan Couture,SJS,6000000,6000000,2015
Andrei Markov,MTL,6000000,5750000,2015
Ryan Miller,VAN,6000000,6000000,2015
Matt Duchene,COL,6000000,6000000,2015
Kari Lehtonen,DAL,6000000,5900000,2015
Evander Kane,BUF,6000000,5250000,2015
Jordan Eberle,EDM,6000000,6000000,2015
Niklas Kronwall,DET,6000000,4750000,2015
Valtteri Filppula,TBL,6000000,5000000,2015
Joe Pavelski,SJS,6000000,6000000,2015
Ben Bishop,TBL,5950000,5950000,2015
Roberto Luongo,FLA,5914000,4533333,2015
Brandon Dubinsky,CBJ,5850000,5850000,2015
Anders Steen,STL,5800000,5800000,2015
Blake Wheeler,WPG,5800000,5600000,2015
Brent Burns,SJS,5760000,5760000,2015
Jason Pominville,MIN,5750000,5600000,2015
Marc-Andre Fleury,PIT,5750000,5750000,2015
Jamie Benn,DAL,5750000,5250000,2015
Victor Hedman,TBL,5750000,4000000,2015
Toby Enstrom,WPG,5750000,5750000,2015
Paul Martin,SJS,5750000,4850000,2015
Mark Streit,PHI,5750000,5250000,2015
Matt Niskanen,WSH,5750000,5750000,2015
Marc Staal,NYR,5700000,5700000,2015
Jay Bouwmeester,STL,5600000,5400000,2015
