species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
Gentoo,Dream,61.835291415897956,17.94709737850477,185.06327817267413,3713.986763790535,female,2007
Gentoo,Biscoe,41.43010388514329,19.506942448631285,186.7266238527507,4074.887464032108,male,2009
Gentoo,Biscoe,31.39292836895136,20.039216348516362,162.02154090431895,4371.0110184106,female,2007
Gentoo,Dream,60.06226682162549,18.18290644519191,199.51780650476607,3993.086126490121,male,2007
Gentoo,Dream,57.88664422836812,20.600279541526408,213.13348791077777,5984.8030023893225,male,2008
Gentoo,Dream,39.080166856899524,13.504696290331095,190.00396363401472,3180.8547653658,female,2008
Adelie,Dream,59.275964160038846,20.09526967537579,196.10494401632653,4251.5812533380085,male,2009
Adelie,Biscoe,45.81338685760532,16.170876606058503,241.64602442034834,6981.803560050176,male,2008
Gentoo,Torgersen,41.80832129159839,22.047924803826398,201.79164999562383,2703.1648595213774,male,2008
Gentoo,Biscoe,51.87816202357953,13.410448776749199,207.86315129442622,3894.7248920564534,female,2009
Gentoo,Torgersen,42.6508734346917,18.227898530461108,189.62687594514955,4647.349743730372,male,2009
Gentoo,Dream,38.00800398755514,18.87581920473482,166.31871338953573,4014.824546453406,female,2007
Gentoo,Biscoe,49.43538104399233,17.95511151804879,216.0829330884791,4509.819650606472,male,2007
Gentoo,Biscoe,41.1644314340115,12.695293692658849,222.2774405540533,5524.051394319877,male,2008
Gentoo,Biscoe,38.30469845571409,14.152425616228733,222.79945148545946,6164.931644472318,male,2008
Gentoo,Biscoe,54.539465632679665,15.370932652386353,205.56353486946085,3585.5607629699375,male,2008
Gentoo,Biscoe,43.59463322574075,7.448680050126585,194.37657139426506,5064.167504031763,male,2007
Gentoo,Dream,56.64682714256717,17.812837492662243,217.59162423420437,3727.9603665493105,male,2009
Adelie,Torgersen,39.82082110605454,17.486135006080175,182.6000482987653,2836.6055958026186,female,2007
Gentoo,Dream,48.869438676706686,19.57324785075287,200.31783639972656,3640.2527647777547,male,2008
Adelie,Biscoe,41.640907716311645,16.564247164439063,172.29302737199563,4452.29728818793,male,2007
Gentoo,Dream,36.1631382769165,15.789244374540461,178.64634487918985,2605.155663257387,female,2007
Adelie,Torgersen,40.85441023148995,21.79987172601687,186.57870065433806,4348.257535291522,male,2007
Gentoo,Biscoe,41.09783596372637,10.989087329334158,199.8258558663902,4832.340972660414,female,2007
Gentoo,Biscoe,63.867293426933,13.723204068761348,224.34985586194193,4280.118510490718,male,2009
Gentoo,Dream,40.4923296170862,19.123893236247252,185.92068991302557,2587.1448369964546,female,2008
Gentoo,Torgersen,46.86583288509641,15.985173981894672,175.43363590382478,5712.099666036258,male,2008
Adelie,Dream,53.73786344539032,20.194646439984826,213.569209565345,2548.9100077587627,male,2009
Gentoo,Biscoe,27.03272707986865,19.438057407938217,179.85856606056566,5413.745436885216,female,2007
Gentoo,Dream,36.27357362329882,18.402257691509437,202.1265588986797,3688.930526891002,male,2008
Gentoo,Dream,54.456685386048335,23.80853206673659,203.77701964042117,4203.005319941082,male,2008
Gentoo,Dream,58.36246099377643,20.502218646840173,186.98627257712064,3207.028121063925,male,2009
Gentoo,Dream,44.4528512611053,23.28365818996572,196.5821250639072,2967.031471302769,female,2007
Gentoo,Dream,44.86081708598895,19.94219186058779,181.01761947729676,2733.0003514850696,male,2009
Adelie,Biscoe,42.81161688378663,17.26725177439696,176.251213638902,1373.0599934509523,female,2009
Gentoo,Torgersen,42.83788976243019,19.619746659124058,182.14259355192124,4837.306555827035,male,2009
Gentoo,Biscoe,48.090253980852175,13.015223196080248,203.50072579852488,5816.969663914044,female,2008
Gentoo,Biscoe,44.90743566578372,14.392300836561521,208.79549342986522,4681.349643096567,male,2007
Adelie,Biscoe,52.16726121142194,8.987089381841082,186.9969643825096,4380.938452716559,female,2008
Gentoo,Biscoe,46.33065121757858,15.92285849745057,235.38775183658223,6920.581917336342,male,2007
Chinstrap,Dream,35.98164172835375,18.898210138036404,193.34056292441136,3083.2756860453796,female,2009
Chinstrap,Dream,39.84783604988264,16.632316430024087,187.06575856024315,3095.637265126254,female,2008
Adelie,Biscoe,41.482557807430496,16.9966442495599,237.5356165489356,5173.130324884546,female,2009
Gentoo,Dream,53.49172977631827,22.37262211780413,211.69985361758154,3525.0370437920546,male,2007
Adelie,Biscoe,41.00321148646877,12.793712036063335,214.5026803732418,5569.987957539498,male,2008
Chinstrap,Biscoe,43.2207497254613,13.429488451260692,225.377221319338,5932.108923779383,male,2008
Gentoo,Dream,31.476199746806454,19.69488989055268,182.41206404956688,4800.4748514824005,male,2008
Gentoo,Torgersen,37.67213646151934,17.323026093053805,206.78720249588247,2048.1377880036207,female,2007
Gentoo,Torgersen,47.119788590252384,19.23935849842045,185.39854634750978,3486.4093038516776,female,2008
Adelie,Dream,29.268685403324277,16.96485071592976,201.01123373814644,4356.690794190729,male,2009
Chinstrap,Dream,40.18017095945409,15.89840377258963,222.84657711277748,5273.486229083646,female,2009
Gentoo,Biscoe,52.07072533678897,14.853482965375687,210.5550145176142,4678.19236665485,male,2007
