FighterName,FighterLink,FighterWL,Opponent,EventName,Decision,EndRound,EndTime,FightDate,Referee
Israel Adesanya,https://www.sherdog.com/fighter/Israel-Adesanya-56374,W,Jared Cannonier,UFC 276 - Adesanya vs. Cannonier,Decision (Unanimous),5,5:00,"Jul  02, 2022","Herb Dean
                            VIEW PLAY-BY-PLAY"
Israel Adesanya,https://www.sherdog.com/fighter/Israel-Adesanya-56374,W,Robert Whittaker,UFC 271 - Adesanya vs. Whittaker 2,Decision (Unanimous),5,5:00,"Feb  12, 2022","Herb Dean
                            VIEW PLAY-BY-PLAY"
Israel Adesanya,https://www.sherdog.com/fighter/Israel-Adesanya-56374,W,Marvin Vettori,UFC 263 - Adesanya vs. Vettori 2,Decision (Unanimous),5,5:00,"Jun  12, 2021","Marc Goddard
                            VIEW PLAY-BY-PLAY"
Israel Adesanya,https://www.sherdog.com/fighter/Israel-Adesanya-56374,L,Jan Blachowicz,UFC 259 - Blachowicz vs. Adesanya,Decision (Unanimous),5,5:00,"Mar  06, 2021","Herb Dean
                            VIEW PLAY-BY-PLAY"
Israel Adesanya,https://www.sherdog.com/fighter/Israel-Adesanya-56374,W,Paulo Costa,UFC 253 - Adesanya vs. Costa,TKO (Punches and Elbows),2,3:59,"Sep  26, 2020","Jason Herzog
                            VIEW PLAY-BY-PLAY"
Israel Adesanya,https://www.sherdog.com/fighter/Israel-Adesanya-56374,W,Yoel Romero,UFC 248 - Adesanya vs. Romero,Decision (Unanimous),5,5:00,"Mar  07, 2020","Dan Miragliotta
                            VIEW PLAY-BY-PLAY"
Israel Adesanya,https://www.sherdog.com/fighter/Israel-Adesanya-56374,W,Robert Whittaker,UFC 243 - Whittaker vs. Adesanya,KO (Punches),2,3:33,"Oct  05, 2019","Marc Goddard
                            VIEW PLAY-BY-PLAY"
Israel Adesanya,https://www.sherdog.com/fighter/Israel-Adesanya-56374,W,Kelvin Gastelum,UFC 236 - Holloway vs. Poirier,Decision (Unanimous),5,5:00,"Apr  13, 2019","Marc Goddard
                            VIEW PLAY-BY-PLAY"
Israel Adesanya,https://www.sherdog.com/fighter/Israel-Adesanya-56374,W,Anderson Silva,UFC 234 - Adesanya vs. Silva,Decision (Unanimous),3,5:00,"Feb  09, 2019","Herb Dean
                            VIEW PLAY-BY-PLAY"
Israel Adesanya,https://www.sherdog.com/fighter/Israel-Adesanya-56374,W,Derek Brunson,UFC 230 - Cormier vs. Lewis,TKO (Knees and Punches),1,4:51,"Nov  03, 2018","Herb Dean
                            VIEW PLAY-BY-PLAY"
Israel Adesanya,https://www.sherdog.com/fighter/Israel-Adesanya-56374,W,Brad Tavares,UFC - The Ultimate Fighter 27 Finale,Decision (Unanimous),5,5:00,"Jul  06, 2018","Herb Dean
                            VIEW PLAY-BY-PLAY"
Israel Adesanya,https://www.sherdog.com/fighter/Israel-Adesanya-56374,W,Marvin Vettori,UFC on Fox 29 - Poirier vs. Gaethje,Decision (Split),3,5:00,"Apr  14, 2018","Herb Dean
                            VIEW PLAY-BY-PLAY"
Israel Adesanya,https://www.sherdog.com/fighter/Israel-Adesanya-56374,W,Rob Wilkinson,UFC 221 - Romero vs. Rockhold,TKO (Knees and Punches),2,3:37,"Feb  10, 2018","Steve Perceval
                            VIEW PLAY-BY-PLAY"
Israel Adesanya,https://www.sherdog.com/fighter/Israel-Adesanya-56374,W,Stuart Dare,HFS - Hex Fight Series 12,KO (Head Kick),1,4:53,"Nov  24, 2017",Greg Kleynjans
Israel Adesanya,https://www.sherdog.com/fighter/Israel-Adesanya-56374,W,Melvin Guillard,AFC 20 - Australian Fighting Championship 20,TKO (Punches),1,4:49,"Jul  28, 2017",Greg Kleynjans
Israel Adesanya,https://www.sherdog.com/fighter/Israel-Adesanya-56374,W,Murad Kuramagomedov,WLF - E.P.I.C.: Elevation Power in Cage 4,TKO (Punches),2,1:05,"May  28, 2016",""
Israel Adesanya,https://www.sherdog.com/fighter/Israel-Adesanya-56374,W,Andrew Flores Smith,Glory of Heroes 2 - Shenzhen,TKO (Corner Stoppage),1,5:00,"May  07, 2016",""
Israel Adesanya,https://www.sherdog.com/fighter/Israel-Adesanya-56374,W,Dibir Zagirov,WLF - E.P.I.C.: Elevation Power in Cage 2,TKO (Punches),2,2:23,"Mar  13, 2016",""
Israel Adesanya,https://www.sherdog.com/fighter/Israel-Adesanya-56374,W,Vladimir Katykhin,WLF - E.P.I.C.: Elevation Power in Cage 1,TKO (Doctor Stoppage),2,N/A,"Jan  13, 2016",""
Israel Adesanya,https://www.sherdog.com/fighter/Israel-Adesanya-56374,W,Gele Qing,WLF - Wu Lin Feng 2015: New Zealand vs. China,TKO (Elbows),2,3:37,"Sep  19, 2015",Terry Hill
