"playerID","yearID","stint","teamID","lgID","G","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP"
"abreubo01",2010,1,"LAA","AL",154,573,88,146,41,1,20,78,24,10,87,132,3,2,0,5,13
"abreuto01",2010,1,"ARI","NL",81,193,16,45,11,1,1,13,2,1,4,47,0,0,0,4,8
"alvarpe01",2010,1,"PIT","NL",95,347,42,89,21,1,16,64,0,0,37,119,1,0,0,2,8
"anderga01",2010,1,"LAN","NL",80,155,8,28,6,1,2,12,1,0,5,34,1,0,1,2,6
"andruel01",2010,1,"TEX","AL",148,588,88,156,15,3,0,35,32,15,64,96,0,5,17,0,6
"avilaal01",2010,1,"DET","AL",104,294,28,67,12,0,7,31,2,2,36,71,0,2,1,0,12
"avilemi01",2010,1,"KCA","AL",110,424,63,129,16,3,8,32,14,5,20,49,0,1,0,3,13
"aybarer01",2010,1,"LAA","AL",138,534,69,135,18,4,5,29,22,8,35,81,1,7,11,2,7
"aybarwi01",2010,1,"TBA","AL",100,270,22,62,13,0,6,43,0,0,30,61,1,3,2,4,4
"bakerje03",2010,1,"CHN","NL",79,206,29,56,13,2,4,21,1,0,16,50,0,1,0,1,6
"barajro01",2010,1,"NYN","NL",74,249,30,56,11,0,12,34,0,0,8,39,3,6,1,3,4
"barmecl01",2010,1,"COL","NL",133,387,43,91,21,0,8,50,3,2,35,66,10,5,2,3,5
"bartlja01",2010,1,"TBA","AL",135,468,71,119,27,3,4,47,11,6,45,83,1,5,11,3,6
"bartoda02",2010,1,"OAK","AL",159,556,79,152,33,5,10,57,7,3,110,102,2,3,12,5,8
"bautijo02",2010,1,"TOR","AL",161,569,109,148,35,3,54,124,9,2,100,116,2,10,0,4,10
"bayja01",2010,1,"NYN","NL",95,348,48,90,20,6,6,47,10,0,44,91,3,5,0,4,7
"beckhgo01",2010,1,"CHA","AL",131,444,58,112,25,2,9,49,4,6,37,92,0,7,6,4,9
"belliro01",2010,1,"LAN","NL",82,162,24,35,10,1,2,19,2,2,18,35,1,1,2,2,4
"belljo01",2010,1,"BAL","AL",53,159,15,34,5,0,3,12,0,1,2,53,0,0,0,0,4
"beltrad01",2010,1,"BOS","AL",154,589,84,189,49,2,28,102,2,1,40,82,10,5,0,7,25
"beltrca01",2010,1,"NYN","NL",64,220,21,56,11,3,7,27,3,1,30,39,5,1,0,4,4
"berkmla01",2010,1,"HOU","NL",85,298,39,73,16,1,13,49,3,2,60,70,4,0,0,0,12
"bernaro01",2010,1,"WAS","NL",134,414,52,102,18,3,11,47,16,2,35,93,1,4,2,6,3
"betanyu01",2010,1,"KCA","AL",151,556,60,144,29,2,16,78,2,3,23,64,1,1,4,4,13
"betemwi01",2010,1,"KCA","AL",84,276,36,82,20,0,13,43,0,0,36,74,2,1,0,2,3
"blakeca01",2010,1,"LAN","NL",146,509,56,126,28,1,17,64,0,4,48,138,3,8,3,3,8
"blancan01",2010,1,"TEX","AL",68,166,17,46,10,1,0,13,0,2,11,24,1,3,3,2,0
"blancgr01",2010,2,"KCA","AL",49,179,22,49,8,3,1,11,10,2,21,35,0,0,2,1,3
"bloomwi01",2010,1,"KCA","AL",72,170,31,45,10,1,3,17,8,5,8,25,0,0,2,1,4
"blumge01",2010,1,"HOU","NL",93,202,22,54,10,1,2,22,0,0,15,33,2,1,0,0,3
"boescbr01",2010,1,"DET","AL",133,464,49,119,26,3,14,67,7,1,40,99,5,5,0,3,5
"bonifem01",2010,1,"FLO","NL",73,180,30,47,6,3,0,10,12,0,17,42,0,0,1,3,1
"borboju01",2010,1,"TEX","AL",137,438,60,121,11,4,3,42,15,7,19,59,0,2,8,1,5
"bourjpe01",2010,1,"LAA","AL",51,181,19,37,6,4,6,15,10,3,6,40,0,2,3,1,2
"bournmi01",2010,1,"HOU","NL",141,535,84,142,25,6,2,38,52,12,59,109,5,3,6,2,6
"bradlmi01",2010,1,"SEA","AL",73,244,28,50,9,1,8,29,8,2,28,75,2,3,1,2,2
"brantmi02",2010,1,"CLE","AL",72,297,38,73,9,3,3,22,10,2,22,38,0,0,4,2,6
"branyru01",2010,1,"CLE","AL",52,171,24,45,9,0,10,24,0,0,16,49,1,1,1,1,2
"branyru01",2010,2,"SEA","AL",57,205,23,44,10,0,15,33,1,0,30,82,2,2,0,1,4
"braunry02",2010,1,"MIL","NL",157,619,101,188,45,1,25,103,14,3,56,105,1,6,0,3,17
"brignre01",2010,1,"TBA","AL",113,301,39,77,13,1,8,45,3,3,20,77,3,3,0,2,6
"bruceja01",2010,1,"CIN","NL",148,509,80,143,23,5,25,70,5,4,58,136,5,1,0,5,12
"buckjo01",2010,1,"TOR","AL",118,409,53,115,25,0,20,66,0,0,16,111,1,6,0,6,6
"burrepa01",2010,2,"SFN","NL",96,289,41,77,16,0,18,51,0,2,47,77,4,0,0,5,5
"butlebi03",2010,1,"KCA","AL",158,595,77,189,45,0,15,78,0,0,69,78,8,5,0,9,32
"byrdma01",2010,1,"CHN","NL",152,580,84,170,39,2,12,66,5,1,31,98,1,17,0,2,12
"cabreas01",2010,1,"CLE","AL",97,381,39,105,16,1,3,29,6,4,25,60,0,5,11,3,10
"cabreev01",2010,1,"SDN","NL",76,212,22,44,6,3,1,22,10,6,19,54,3,2,8,0,8
"cabreme01",2010,1,"ATL","NL",147,458,50,117,27,3,4,42,7,1,42,64,11,1,5,3,8
"cabremi01",2010,1,"DET","AL",150,548,111,180,45,1,38,126,3,3,89,95,32,3,0,8,17
"cabreor01",2010,1,"CIN","NL",123,494,64,130,33,0,4,42,11,4,28,53,0,3,5,7,11
"cairomi01",2010,1,"CIN","NL",91,200,30,58,12,0,4,28,4,0,17,30,0,4,2,3,4
"callaal01",2010,1,"KCA","AL",88,349,40,96,19,2,8,43,3,1,19,29,2,0,0,5,14
"callaal01",2010,2,"LAA","AL",58,213,21,53,8,0,2,13,2,2,12,13,1,1,1,1,8
"camermi01",2010,1,"BOS","AL",48,162,24,42,11,0,4,15,0,1,14,44,0,3,0,1,3
"canoro01",2010,1,"NYA","AL",160,626,103,200,41,3,29,109,3,2,57,77,14,8,0,5,19
"cantujo01",2010,1,"FLO","NL",97,374,41,98,25,0,10,54,0,0,23,76,1,6,0,7,11
"carroja01",2010,1,"LAN","NL",133,351,48,102,15,1,0,23,12,4,51,64,3,2,5,5,8
"cartech01",2010,1,"NYN","NL",100,167,15,44,9,0,4,24,1,2,12,17,0,1,0,0,2
